"h3","d","wL","P50","pxmin","pxgs50","slope"
1,1,0.211897095179974,-0.870375412543876,-1.58506332557365,-0.862394560666065,0.642995012857213
25,1,0.249999539489033,-0.870375412543876,-0.89532696699491,-0.693073997750246,0.625796749799552
100,1,0.288983018531621,-0.870375412543876,-0.498425745739723,-0.453049939559503,0.521713750988563
200,1,0.313376021813255,-0.870375412543876,-0.358849978888862,-0.337127836226819,0.456910060972364
1,2,0.177703729541646,-1.74075082508775,-3.37051995568974,-1.72159514894487,0.66542079505626
25,2,0.204215508764543,-1.74075082508775,-2.07957638200241,-1.4040557252788,0.738582558002123
100,2,0.234235593946355,-1.74075082508775,-1.16973853243475,-0.978383819656394,0.653148127466052
200,2,0.2527475254535,-1.74075082508775,-0.854729558382384,-0.759375547873087,0.600257666304288
1,3,0.160515176521681,-2.61112623763163,-5.22151735899526,-2.57510136499137,0.679135321954951
25,3,0.182099527373971,-2.61112623763163,-3.36326110466994,-2.07715044679839,0.793392026118378
100,3,0.208431513271251,-2.61112623763163,-1.88188753070571,-1.47145886542602,0.710352876497979
200,3,0.224462192287274,-2.61112623763163,-1.37947406631988,-1.16420471632257,0.662386466770018
1,4,0.149405960420153,-3.4815016501755,-7.11342371062342,-3.42319577446318,0.689574450119917
25,4,0.168110750182595,-3.4815016501755,-4.70892344339988,-2.71836583777108,0.826922783961788
100,4,0.192326386317574,-3.4815016501755,-2.61519498009112,-1.93385571548041,0.743224200146348
200,4,0.206915487237027,-3.4815016501755,-1.91819806473268,-1.54647655684566,0.697963469142266
1,5,0.141354332021579,-4.35187706271938,-9.03498678745877,-4.26617353802786,0.698258016349396
25,5,0.158117586093218,-4.35187706271938,-6.09916519811994,-3.33250618420334,0.849946952829966
100,5,0.180917963372165,-4.35187706271938,-3.36201519710592,-2.37110789733957,0.764985276027403
200,5,0.19453419394301,-4.35187706271938,-2.4655935000236,-1.90882725725131,0.721539760870203
1,6,0.135117764597908,-5.22225247526326,-10.9797293017317,-5.10431560456125,0.705817083426388
25,6,0.150459581661854,-5.22225247526326,-7.52406113126313,-3.9233662388766,0.866934902261683
100,6,0.17222592417283,-5.22225247526326,-4.11842236524746,-2.78773791650465,0.780677332146829
200,6,0.18512608309527,-5.22225247526326,-3.01904972941517,-2.25438794940091,0.738601349331444
1,7,0.130071976744429,-6.09262788780713,-12.9434854387036,-5.93788393279086,0.712579146414814
25,7,0.14431567918145,-6.09262788780713,-8.97712031598544,-4.49398049960666,0.880088059121388
100,7,0.165281683472337,-6.09262788780713,-4.88208347282407,-3.18720825908972,0.792657833829461
200,7,0.177624219651994,-6.09262788780713,-3.57705510953622,-2.58579367030062,0.751691642349276
1,8,0.125861836300561,-6.96300330035101,-14.9232867069828,-6.76711923290734,0.718730359299182
25,8,0.13922444071198,-6.96300330035101,-10.4538271057177,-5.04681029103386,0.890636089759725
100,8,0.15954542483509,-6.96300330035101,-5.65147878177479,-3.57214905769005,0.802184884888512
200,8,0.171436269149684,-6.96300330035101,-4.1386397967614,-2.9051332707874,0.762159087769915
1,9,0.122267328174878,-7.83337871289488,-16.9170349563451,-7.59224007071784,0.724396346555382
25,9,0.134902758364219,-7.83337871289488,-11.950865207089,-5.58387630777363,0.899323940899881
100,9,0.154688141289471,-7.83337871289488,-6.42555368309916,-3.94459115316095,0.809995216717349
200,9,0.166202329343382,-7.83337871289488,-4.70313706551681,-3.21405876635782,0.770789964343736
1,10,0.119143355538056,-8.70375412543876,-18.922995900509,-8.41344740298505,0.729654758245045
25,10,0.13116542804198,-8.70375412543876,-13.4656854614222,-6.10686214414423,0.906630194921363
100,10,0.150495764008227,-8.70375412543876,-7.20354160751931,-4.30612963899136,0.816551487627457
200,10,0.161688812440224,-8.70375412543876,-5.27006585703288,-3.51388646542515,0.778076571050777
1,11,0.11638953742712,-9.57412953798264,-20.9398869797801,-9.23092421416855,0.734566779346995
25,11,0.12788519951539,-9.57412953798264,-14.9963086874938,-6.61715987552469,0.912880682366882
100,11,0.146821868835924,-9.57412953798264,-7.98485692329697,-4.65805085929357,0.822158332798634
200,11,0.157736277293876,-9.57412953798264,-5.83906292072196,-3.80567887657172,0.78434393027103
1,12,0.113933746816014,-10.4445049505265,-22.9666304993732,-10.0448258961882,0.739177675582259
25,12,0.124971183477026,-10.4445049505265,-16.541116446033,-7.11597104633098,0.918302508374241
100,12,0.143562268409009,-10.4445049505265,-8.76905767155067,-5.00139658855302,0.827028221322198
200,12,0.154231468893389,-10.4445049505265,-6.40985133806535,-4.09030500487739,0.789817096681838
1,13,0.111722539307635,-11.3148803630704,-25.0023600553017,-10.85531168659,0.743522644475344
25,13,0.122356386139924,-11.3148803630704,-18.0987879647142,-7.60431158078164,0.923061024375728
100,13,0.140640415922648,-11.3148803630704,-9.55578446689586,-5.33703046065559,0.831311756904567
200,13,0.151091303097616,-11.3148803630704,-6.98220663720977,-4.36848723567341,0.794656284414253
1,14,0.109715291811831,-12.1852557756143,-27.0463105322974,-11.662502774764,0.747629967236833
25,14,0.119990123796831,-12.1852557756143,-19.6681884733939,-8.08306177202197,0.927277555982937
100,14,0.137998563195089,-12.1852557756143,-10.3447490050128,-5.66567608368157,0.835120162259123
200,14,0.148253178327049,-12.1852557756143,-7.55595045457951,-4.64083081713209,0.798979968959164
1,15,0.107880456780645,-13.0556311881581,-29.0978759363012,-12.4665219455095,0.751522675045484
25,15,0.117833201903822,-13.0556311881581,-21.248406422603,-8.5529862179145,0.931047405948209
100,15,0.13559216167564,-13.0556311881581,-11.1357120332794,-5.98794700521965,0.838536978284393
200,15,0.145668855584021,-13.0556311881581,-8.1309354513389,-4.90784947377008,0.802877485526188
