MAP,pkx,h3,d,wL,P50,pxmin,pxgs50,slope
1825,0.5,1,5,0.148584091,-4.351877063,-6.689880318,-4.718627231,0.465361433
3650,0.5,1,5,0.150164201,-4.351877063,-6.386989542,-4.84718342,0.430869111
1825,0.5,25,5,0.153965652,-4.351877063,-5.724540428,-4.344923609,0.611992246
3650,0.5,25,5,0.156180517,-4.351877063,-5.377388867,-4.496995368,0.5796462
1825,0.5,200,5,0.179365704,-4.351877063,-2.932773142,-2.555789048,0.633464976
3650,0.5,200,5,0.181145816,-4.351877063,-2.808620662,-2.555272244,0.606025809
1825,0.25,25,5,0.154547946,-4.351877063,-5.63067031,-5.63067032,0.439242705
3650,0.25,25,5,0.157790194,-4.351877063,-5.14122526,-5.141225233,0.38773185
1825,0.5,25,5,0.153965652,-4.351877063,-5.724540428,-4.344923609,0.611992246
3650,0.5,25,5,0.156180517,-4.351877063,-5.377388867,-4.496995368,0.5796462
1825,0.75,25,5,0.153938215,-4.351877063,-5.729010732,-3.685255853,0.706217159
3650,0.75,25,5,0.154775361,-4.351877063,-5.594523153,-3.694964384,0.691561373
