"k","MAP","d","wL","P50","pxmin","pxgs50"
0.05,1825,1,0.243488527303378,-0.870375412543876,-0.768920153707371,-0.385250076853685
0.05,1825,2,0.20241915267431,-1.74075082508775,-1.72693132659625,-0.864255663298125
0.05,1825,3,0.180455382886543,-2.61112623763163,-2.85599328375474,-1.42878664187737
0.05,1825,4,0.166294141299876,-3.4815016501755,-4.08522565740972,-2.04340282870486
0.05,1825,5,0.156177189183948,-4.35187706271938,-5.37789091646758,-2.68973545823379
0.05,1825,6,0.148455044337207,-5.22225247526326,-6.71538886797825,-3.35848443398912
0.05,1825,7,0.142283235656253,-6.09262788780713,-8.08804831434495,-4.04481415717248
0.05,1825,8,0.137187297841211,-6.96300330035101,-9.48903823160512,-4.74530911580257
0.05,1825,9,0.132875106872264,-7.83337871289488,-10.9137500045101,-5.45766500225507
0.05,1825,10,0.129154120844519,-8.70375412543876,-12.3595561611606,-6.18056808058028
