"d","P50","pxgs50"
1,-0.870375412543876,-0.871803277981535
2,-1.74075082508775,-1.74303382483801
3,-2.61112623763163,-2.61426447905931
4,-3.4815016501755,-3.48549516379475
5,-4.35187706271938,-4.3567258552487
6,-5.22225247526326,-5.22795656152192
7,-6.09262788780713,-6.09918725978668
8,-6.96300330035101,-6.97041796460397
9,-7.83337871289488,-7.84164867869528
10,-8.70375412543876,-8.71287937640478
11,-9.57412953798264,-9.58411007506162
12,-10.4445049505265,-10.4553407917734
13,-11.3148803630704,-11.3265715013475
14,-12.1852557756143,-12.1978022154288
15,-13.0556311881581,-13.0690329339337
